Student_ID,CGPA,Bachelors_Degree,Skills,Languages,Job_Experience,Duration_of_Internship_or_Job,Extra_Curricular,Research_Paper
2974,3.61,Artificial Intelligence,"Data Structures & Algorithms (DSA), Web Development, Computer Networks","Java, C++, C",Hardware Engineer,24 months,"Music Club, Sports Club, Student Government",No
2975,2.89,Robotics,"Computer Networks, PostgreSQL, Web Development","C++, Java",Systems Engineer,20 months,Sports Club,No
2976,2.15,Computer Engineering,"DevOps, Machine Learning, Web Development, Data Structures & Algorithms (DSA), PostgreSQL",C++,Research Assistant,9 months,"Debating Society, Student Government, Sports Club",Yes
2977,3.53,Information Technology,"Machine Learning, Data Structures & Algorithms (DSA)","Java, Ruby, R",Hardware Engineer,23 months,"Volunteering, Sports Club, Debating Society",No
2978,2.66,Mechanical Engineering,"Computer Networks, Data Structures & Algorithms (DSA), Web Development, Cloud Computing","C++, Ruby",Systems Engineer,22 months,"Sports Club, Coding Club, Student Government",No
2979,2.19,Artificial Intelligence,"Operating Systems, DevOps",JavaScript,Hardware Engineer,12 months,"Sports Club, Debating Society",No
2980,2.32,Information Technology,"Operating Systems, Data Structures & Algorithms (DSA), PostgreSQL, Machine Learning, DevOps",JavaScript,Hardware Engineer,15 months,"Debating Society, Volunteering, Art Club",No
2981,2.84,Information Technology,"SQL, Machine Learning, Artificial Intelligence",C,Research Assistant,7 months,"Art Club, Student Government, Music Club",No
2982,2.54,Data Science,"Machine Learning, Artificial Intelligence, DevOps, Web Development","Python, Java",Research Assistant,8 months,"Student Government, Sports Club",No
2983,2.33,Computer Engineering,"DevOps, Web Development","Java, JavaScript, Ruby",Software Developer,7 months,"Debating Society, Student Government, Coding Club",No
2984,3.32,Mechanical Engineering,"Web Development, Artificial Intelligence, DevOps, Operating Systems, SQL",R,Data Analyst,3 months,Music Club,Yes
2985,2.65,Mechanical Engineering,"SQL, PostgreSQL","Ruby, R, C",Data Analyst,21 months,"Volunteering, Debating Society, Coding Club",Yes
2986,3.28,Civil Engineering,"Web Development, Cloud Computing","C++, Java, Ruby",Network Engineer,9 months,"Volunteering, Debating Society",Yes
2987,3.84,Chemical Engineering,"DevOps, SQL",JavaScript,Data Analyst,15 months,"Debating Society, Art Club",No
2988,3.72,Mechanical Engineering,"Web Development, SQL, Data Structures & Algorithms (DSA)",C,Research Assistant,5 months,"Art Club, Music Club",Yes
2989,3.15,Artificial Intelligence,"Operating Systems, PostgreSQL, Cloud Computing, SQL","Python, C++",Network Engineer,24 months,"Music Club, Sports Club, Coding Club",No
2990,2.49,Electrical Engineering,"Operating Systems, Data Structures & Algorithms (DSA), PostgreSQL, Cloud Computing","Python, R",Hardware Engineer,19 months,"Coding Club, Volunteering",No
2991,2.2,Artificial Intelligence,"Machine Learning, Artificial Intelligence, Cloud Computing, PostgreSQL, DevOps","C++, Ruby, C",Data Analyst,11 months,"Art Club, Music Club, Debating Society",Yes
2992,2.15,Software Engineering,"Data Structures & Algorithms (DSA), PostgreSQL, Operating Systems, SQL, DevOps","C, Ruby, R",Data Analyst,18 months,"Music Club, Debating Society",Yes
2993,2.75,Civil Engineering,"SQL, PostgreSQL",Java,Research Assistant,10 months,Sports Club,Yes
2994,2.97,Software Engineering,"SQL, Machine Learning, Operating Systems","C++, Java",Data Analyst,15 months,Music Club,Yes
2995,2.33,Civil Engineering,"Computer Networks, Machine Learning, Data Structures & Algorithms (DSA)","JavaScript, Java",Hardware Engineer,14 months,Sports Club,Yes
2996,4.0,Software Engineering,"PostgreSQL, Web Development, Operating Systems, SQL, Cloud Computing","Ruby, C++, R",Data Analyst,14 months,"Sports Club, Student Government, Debating Society",Yes
2997,3.15,Chemical Engineering,"Operating Systems, Computer Networks, Cloud Computing","Java, C",Software Developer,6 months,Coding Club,No
2998,2.45,Chemical Engineering,"Artificial Intelligence, SQL",R,Data Analyst,5 months,"Volunteering, Music Club",No
2999,3.23,Computer Engineering,"Cloud Computing, Web Development, PostgreSQL, Machine Learning","R, Java",Systems Engineer,11 months,Volunteering,Yes
3000,3.23,Data Science,"Computer Networks, PostgreSQL, Cloud Computing, DevOps, Artificial Intelligence","Ruby, JavaScript",Network Engineer,14 months,"Volunteering, Debating Society, Sports Club",Yes
3001,3.41,Mechanical Engineering,"Artificial Intelligence, PostgreSQL, Machine Learning, Operating Systems, DevOps","C, Python, JavaScript",Systems Engineer,3 months,"Music Club, Student Government",No
3002,3.59,Software Engineering,"Computer Networks, SQL, Operating Systems",Ruby,Hardware Engineer,6 months,Volunteering,No
3003,3.06,Chemical Engineering,"SQL, PostgreSQL, Operating Systems",JavaScript,Research Assistant,22 months,"Debating Society, Volunteering, Coding Club",Yes
3004,2.41,Artificial Intelligence,"Computer Networks, Data Structures & Algorithms (DSA), PostgreSQL, Operating Systems","JavaScript, Java",Network Engineer,17 months,"Debating Society, Music Club, Sports Club",No
3005,3.99,Software Engineering,"Web Development, Artificial Intelligence, SQL, Cloud Computing, Computer Networks","Python, C++, JavaScript",Data Analyst,13 months,"Student Government, Art Club",Yes
3006,3.66,Electrical Engineering,"Computer Networks, Operating Systems, SQL, Artificial Intelligence, Web Development","C, JavaScript",Hardware Engineer,5 months,"Volunteering, Art Club",Yes
3007,2.0,Robotics,"Data Structures & Algorithms (DSA), PostgreSQL, Artificial Intelligence, Operating Systems, SQL",JavaScript,Network Engineer,6 months,Debating Society,Yes
3008,2.86,Computer Engineering,"Operating Systems, Machine Learning, PostgreSQL, Web Development","Java, C++, Python",Data Analyst,17 months,"Art Club, Sports Club, Music Club",No
3009,3.75,Information Technology,"DevOps, Machine Learning, Cloud Computing, PostgreSQL","JavaScript, Java, R",Network Engineer,17 months,"Art Club, Music Club",Yes
3010,2.59,Robotics,"SQL, DevOps, Machine Learning, Data Structures & Algorithms (DSA)","Java, R, Python",Research Assistant,15 months,Student Government,Yes
3011,3.93,Electrical Engineering,"Artificial Intelligence, Computer Networks, Machine Learning","Ruby, Java",Research Assistant,10 months,"Volunteering, Coding Club, Art Club",No
3012,2.3,Information Technology,"SQL, Cloud Computing, Data Structures & Algorithms (DSA), Web Development, Operating Systems","JavaScript, Ruby",Data Analyst,15 months,Sports Club,No
3013,2.2,Artificial Intelligence,"Machine Learning, Computer Networks, DevOps, SQL, Cloud Computing",Ruby,Network Engineer,18 months,"Music Club, Student Government, Volunteering",Yes
3014,2.28,Robotics,"Operating Systems, Computer Networks, Web Development, Artificial Intelligence, Machine Learning","Java, R, C++",Hardware Engineer,13 months,Volunteering,No
3015,2.76,Software Engineering,"SQL, Machine Learning, Web Development, PostgreSQL","Java, R",Hardware Engineer,6 months,Music Club,Yes
3016,3.88,Mechanical Engineering,"Web Development, Computer Networks, Data Structures & Algorithms (DSA), SQL","JavaScript, C++",Hardware Engineer,6 months,Debating Society,Yes
3017,2.86,Chemical Engineering,"DevOps, Artificial Intelligence","Python, C++, Java",Data Analyst,15 months,"Volunteering, Music Club",No
3018,3.26,Mechanical Engineering,"Web Development, SQL, Computer Networks, Machine Learning",Python,Network Engineer,7 months,"Debating Society, Volunteering, Coding Club",Yes
3019,3.22,Information Technology,"SQL, Operating Systems",Ruby,Data Analyst,10 months,Music Club,Yes
3020,2.92,Mechanical Engineering,"Operating Systems, Web Development, PostgreSQL, SQL, Machine Learning",Java,Software Developer,17 months,Debating Society,Yes
3021,2.27,Data Science,"Machine Learning, SQL, Web Development, Artificial Intelligence, Computer Networks","C++, Java",Software Developer,21 months,"Coding Club, Volunteering",Yes
3022,2.01,Mechanical Engineering,"Computer Networks, DevOps, Artificial Intelligence","Python, JavaScript, Ruby",Data Analyst,7 months,Coding Club,Yes
3023,2.67,Robotics,"Web Development, DevOps",C,Software Developer,14 months,"Volunteering, Sports Club",Yes
3024,2.07,Electrical Engineering,"Artificial Intelligence, PostgreSQL","Ruby, C++, C",Software Developer,20 months,"Music Club, Volunteering",No
3025,2.75,Computer Engineering,"SQL, Machine Learning, Computer Networks, Data Structures & Algorithms (DSA), Artificial Intelligence","Ruby, Java, R",Hardware Engineer,16 months,Sports Club,Yes
3026,2.33,Information Technology,"Web Development, Data Structures & Algorithms (DSA)",C++,Hardware Engineer,24 months,"Sports Club, Student Government, Volunteering",Yes
3027,2.79,Electrical Engineering,"DevOps, Data Structures & Algorithms (DSA)","C, Python, Ruby",Data Analyst,19 months,"Sports Club, Music Club, Volunteering",Yes
3028,2.03,Mechanical Engineering,"Data Structures & Algorithms (DSA), Web Development, SQL","Ruby, C",Systems Engineer,10 months,"Student Government, Art Club",Yes
3029,2.99,Electrical Engineering,"Operating Systems, Computer Networks, PostgreSQL, Artificial Intelligence","C++, Java",Network Engineer,13 months,"Student Government, Music Club",Yes
3030,2.28,Electrical Engineering,"SQL, Machine Learning",Ruby,Software Developer,21 months,"Sports Club, Music Club, Art Club",Yes
3031,2.45,Artificial Intelligence,"Artificial Intelligence, Web Development",C++,Research Assistant,16 months,Debating Society,Yes
3032,2.38,Robotics,"SQL, Computer Networks, Cloud Computing","Java, JavaScript",Data Analyst,11 months,Coding Club,Yes
3033,2.31,Robotics,"Artificial Intelligence, Computer Networks","JavaScript, C",Network Engineer,10 months,Sports Club,No
3034,3.69,Software Engineering,"Computer Networks, Operating Systems, PostgreSQL, Web Development",Python,Systems Engineer,3 months,"Music Club, Volunteering",No
3035,2.89,Artificial Intelligence,"Computer Networks, Web Development, PostgreSQL",Java,Hardware Engineer,24 months,Debating Society,No
3036,2.1,Artificial Intelligence,"Web Development, Operating Systems, Machine Learning, Data Structures & Algorithms (DSA)",C++,Network Engineer,10 months,Coding Club,No
3037,3.08,Artificial Intelligence,"SQL, Data Structures & Algorithms (DSA)","Python, Java",Software Developer,22 months,"Debating Society, Volunteering",Yes
3038,2.31,Artificial Intelligence,"Web Development, Machine Learning, Computer Networks","Java, R, Python",Network Engineer,11 months,"Music Club, Coding Club",Yes
3039,3.78,Robotics,"Operating Systems, Artificial Intelligence, Machine Learning","Python, C",Software Developer,4 months,"Debating Society, Student Government, Volunteering",Yes
3040,3.73,Mechanical Engineering,"DevOps, Artificial Intelligence, Machine Learning, Cloud Computing","C, Java",Systems Engineer,10 months,"Sports Club, Debating Society",No
3041,2.35,Electrical Engineering,"Data Structures & Algorithms (DSA), Operating Systems, DevOps, Computer Networks, Web Development","Java, Python, Ruby",Data Analyst,7 months,"Volunteering, Music Club",Yes
3042,3.37,Chemical Engineering,"Data Structures & Algorithms (DSA), Cloud Computing",Java,Network Engineer,8 months,Music Club,Yes
3043,3.79,Robotics,"Operating Systems, Computer Networks, Artificial Intelligence, Data Structures & Algorithms (DSA), Web Development","C, Ruby",Software Developer,12 months,Music Club,No
3044,2.32,Software Engineering,"Web Development, Artificial Intelligence, Computer Networks, DevOps","C++, Python, Ruby",Data Analyst,3 months,Art Club,Yes
3045,3.23,Information Technology,"PostgreSQL, Machine Learning, Computer Networks, Artificial Intelligence, SQL","C, Java",Hardware Engineer,13 months,Coding Club,Yes
3046,2.43,Electrical Engineering,"Machine Learning, PostgreSQL","Python, Ruby",Systems Engineer,10 months,"Coding Club, Art Club, Debating Society",Yes
3047,2.03,Information Technology,"Machine Learning, Operating Systems, PostgreSQL, Data Structures & Algorithms (DSA), Web Development",Ruby,Research Assistant,12 months,"Music Club, Art Club",No
3048,2.04,Robotics,"Cloud Computing, DevOps, Artificial Intelligence",R,Hardware Engineer,4 months,"Sports Club, Student Government, Art Club",No
3049,3.88,Chemical Engineering,"Web Development, SQL, DevOps, Cloud Computing, Artificial Intelligence","Ruby, Java",Software Developer,21 months,"Sports Club, Debating Society",Yes
3050,2.79,Data Science,"SQL, Cloud Computing","C++, JavaScript, Ruby",Research Assistant,24 months,Art Club,No
3051,2.49,Electrical Engineering,"PostgreSQL, Machine Learning","C, JavaScript",Systems Engineer,20 months,"Sports Club, Art Club",Yes
3052,3.4,Chemical Engineering,"SQL, Web Development, Data Structures & Algorithms (DSA), Artificial Intelligence","R, C, Ruby",Network Engineer,4 months,"Student Government, Debating Society, Coding Club",No
3053,2.87,Robotics,"Machine Learning, SQL","JavaScript, Ruby",Software Developer,10 months,"Art Club, Coding Club, Volunteering",Yes
3054,3.84,Civil Engineering,"Operating Systems, PostgreSQL","Python, C++",Data Analyst,23 months,"Art Club, Debating Society, Music Club",No
3055,2.51,Information Technology,"SQL, DevOps, Computer Networks, Data Structures & Algorithms (DSA), Artificial Intelligence","JavaScript, Java, C",Research Assistant,8 months,"Debating Society, Art Club, Music Club",Yes
3056,2.5,Robotics,"DevOps, PostgreSQL, Web Development",JavaScript,Hardware Engineer,15 months,"Music Club, Sports Club, Student Government",No
3057,2.32,Chemical Engineering,"Operating Systems, Data Structures & Algorithms (DSA)","R, C++",Research Assistant,20 months,Volunteering,No
3058,3.67,Computer Engineering,"Cloud Computing, SQL, Operating Systems, Machine Learning, PostgreSQL","Java, C",Hardware Engineer,6 months,Music Club,No
3059,3.17,Mechanical Engineering,"Machine Learning, SQL","Java, C, Ruby",Software Developer,9 months,"Art Club, Student Government, Sports Club",No
3060,3.58,Data Science,"Machine Learning, Operating Systems, PostgreSQL, Cloud Computing","Python, C",Hardware Engineer,23 months,Volunteering,Yes
3061,3.27,Mechanical Engineering,"Computer Networks, Operating Systems","C++, R, C",Research Assistant,19 months,"Art Club, Music Club",No
3062,3.29,Information Technology,"Artificial Intelligence, Web Development, Data Structures & Algorithms (DSA), SQL, Computer Networks","C++, Java, C",Software Developer,16 months,"Volunteering, Student Government, Sports Club",Yes
3063,3.84,Mechanical Engineering,"Cloud Computing, Data Structures & Algorithms (DSA), Operating Systems, Computer Networks, Artificial Intelligence","C, R, C++",Network Engineer,23 months,Volunteering,Yes
3064,2.26,Robotics,"Machine Learning, Computer Networks, Operating Systems, DevOps","Ruby, Java",Hardware Engineer,9 months,"Art Club, Sports Club, Debating Society",No
3065,3.47,Robotics,"Computer Networks, Machine Learning, DevOps","JavaScript, Ruby, R",Data Analyst,11 months,Volunteering,Yes
3066,2.55,Computer Engineering,"Cloud Computing, Computer Networks, Artificial Intelligence","C, JavaScript",Network Engineer,21 months,"Music Club, Debating Society",No
3067,2.09,Electrical Engineering,"Artificial Intelligence, Cloud Computing, DevOps, Data Structures & Algorithms (DSA)","R, Ruby, C++",Hardware Engineer,16 months,"Coding Club, Debating Society",Yes
3068,2.13,Software Engineering,"Web Development, Computer Networks","C, C++, R",Network Engineer,18 months,"Coding Club, Music Club, Debating Society",Yes
3069,2.5,Computer Engineering,"DevOps, PostgreSQL","C++, JavaScript",Software Developer,9 months,"Coding Club, Debating Society",Yes
3070,2.08,Computer Engineering,"Data Structures & Algorithms (DSA), PostgreSQL, Web Development","R, JavaScript, Ruby",Data Analyst,7 months,"Coding Club, Sports Club",No
3071,3.75,Computer Engineering,"Operating Systems, SQL","C++, JavaScript",Data Analyst,23 months,"Music Club, Sports Club",No
3072,2.97,Artificial Intelligence,"Machine Learning, Web Development, Cloud Computing, Artificial Intelligence, Operating Systems",C++,Data Analyst,21 months,"Volunteering, Debating Society",Yes
3073,2.03,Electrical Engineering,"Data Structures & Algorithms (DSA), Machine Learning, SQL",R,Software Developer,14 months,"Volunteering, Art Club",No
3074,3.19,Software Engineering,"Data Structures & Algorithms (DSA), DevOps, Cloud Computing",C++,Hardware Engineer,9 months,"Coding Club, Music Club, Art Club",No
3075,3.85,Robotics,"SQL, Data Structures & Algorithms (DSA), Web Development, Cloud Computing",C,Research Assistant,21 months,"Music Club, Art Club, Volunteering",Yes
3076,3.08,Robotics,"Data Structures & Algorithms (DSA), Web Development, SQL, Artificial Intelligence, Machine Learning",Python,Research Assistant,16 months,"Sports Club, Music Club",No
3077,3.52,Mechanical Engineering,"Data Structures & Algorithms (DSA), SQL, Artificial Intelligence, Computer Networks",JavaScript,Research Assistant,21 months,"Student Government, Coding Club",Yes
3078,2.39,Electrical Engineering,"Cloud Computing, Computer Networks",R,Data Analyst,19 months,"Art Club, Student Government, Sports Club",Yes
3079,3.23,Data Science,"Web Development, Cloud Computing","Java, R, C",Research Assistant,22 months,"Sports Club, Student Government",No
3080,3.88,Civil Engineering,"Web Development, Operating Systems, DevOps, Artificial Intelligence","C, Ruby",Systems Engineer,20 months,Student Government,No
3081,2.99,Civil Engineering,"Web Development, PostgreSQL, Operating Systems","JavaScript, Python",Hardware Engineer,12 months,"Coding Club, Volunteering, Music Club",Yes
3082,2.7,Data Science,"Web Development, Machine Learning, SQL, Data Structures & Algorithms (DSA), Operating Systems","JavaScript, Java, C",Research Assistant,13 months,"Sports Club, Coding Club, Art Club",No
3083,3.24,Data Science,"DevOps, Operating Systems","Ruby, Python, C",Software Developer,10 months,"Volunteering, Debating Society, Student Government",Yes
3084,2.62,Electrical Engineering,"Computer Networks, Artificial Intelligence, Operating Systems, Web Development, Machine Learning","Python, C++",Research Assistant,6 months,"Student Government, Volunteering",Yes
3085,3.14,Robotics,"Web Development, Data Structures & Algorithms (DSA), Artificial Intelligence, Machine Learning, Computer Networks",Ruby,Hardware Engineer,15 months,"Debating Society, Student Government, Sports Club",No
3086,3.28,Civil Engineering,"Cloud Computing, Web Development, Machine Learning, Operating Systems","JavaScript, C++",Data Analyst,16 months,"Art Club, Student Government, Sports Club",No
3087,2.67,Mechanical Engineering,"Operating Systems, SQL","R, C++",Systems Engineer,19 months,"Art Club, Coding Club, Volunteering",Yes
3088,2.74,Software Engineering,"Web Development, DevOps, Operating Systems, SQL, PostgreSQL","R, Python",Hardware Engineer,18 months,"Student Government, Art Club",No
3089,3.44,Software Engineering,"Operating Systems, Cloud Computing, DevOps","C++, JavaScript",Research Assistant,3 months,Sports Club,Yes
3090,2.25,Data Science,"Web Development, Cloud Computing, DevOps",Ruby,Network Engineer,22 months,Volunteering,No
3091,3.97,Computer Engineering,"Operating Systems, Cloud Computing",C++,Systems Engineer,4 months,"Sports Club, Student Government, Debating Society",No
3092,3.81,Chemical Engineering,"Operating Systems, DevOps, Data Structures & Algorithms (DSA), Artificial Intelligence, SQL","Ruby, JavaScript, C",Software Developer,15 months,Debating Society,Yes
3093,3.24,Civil Engineering,"Operating Systems, Computer Networks, SQL, Artificial Intelligence, Web Development",Java,Systems Engineer,22 months,"Sports Club, Music Club",No
3094,2.87,Software Engineering,"Data Structures & Algorithms (DSA), Cloud Computing, Computer Networks, PostgreSQL, Machine Learning","Ruby, C",Research Assistant,14 months,"Volunteering, Sports Club",Yes
3095,2.29,Information Technology,"Machine Learning, DevOps, PostgreSQL, Data Structures & Algorithms (DSA), Artificial Intelligence",JavaScript,Data Analyst,18 months,"Debating Society, Music Club, Sports Club",Yes
3096,2.53,Artificial Intelligence,"SQL, Artificial Intelligence","R, Java",Hardware Engineer,5 months,Music Club,No
3097,3.28,Robotics,"Cloud Computing, Artificial Intelligence, SQL","C, JavaScript, C++",Data Analyst,18 months,Coding Club,Yes
3098,3.08,Data Science,"SQL, Artificial Intelligence, Web Development",Java,Hardware Engineer,7 months,Debating Society,No
3099,2.04,Software Engineering,"Web Development, SQL, Machine Learning","R, Java, JavaScript",Systems Engineer,21 months,"Debating Society, Art Club",Yes
3100,3.97,Computer Engineering,"Data Structures & Algorithms (DSA), DevOps",C++,Network Engineer,12 months,"Coding Club, Art Club",No
3101,3.32,Data Science,"Web Development, Computer Networks, Cloud Computing","Python, C, R",Data Analyst,18 months,"Sports Club, Volunteering",No
3102,2.15,Civil Engineering,"Artificial Intelligence, Machine Learning",Python,Data Analyst,3 months,"Coding Club, Volunteering",Yes
3103,2.8,Software Engineering,"Machine Learning, Web Development, Operating Systems, Artificial Intelligence, SQL","R, C++",Network Engineer,6 months,Coding Club,Yes
3104,3.97,Software Engineering,"Operating Systems, PostgreSQL, Data Structures & Algorithms (DSA), Web Development, Artificial Intelligence","C++, R",Systems Engineer,20 months,"Student Government, Coding Club, Music Club",Yes
3105,3.19,Data Science,"Web Development, SQL","R, C",Research Assistant,6 months,"Student Government, Sports Club",No
3106,2.9,Robotics,"PostgreSQL, DevOps, SQL, Artificial Intelligence, Operating Systems","Python, C",Data Analyst,4 months,Coding Club,No
3107,2.98,Robotics,"Web Development, Operating Systems, Artificial Intelligence",Java,Systems Engineer,22 months,"Sports Club, Art Club, Debating Society",No
3108,2.1,Robotics,"Web Development, Machine Learning, Operating Systems, DevOps, Cloud Computing","Java, R, Ruby",Software Developer,13 months,"Student Government, Debating Society",Yes
3109,2.74,Software Engineering,"Cloud Computing, SQL, PostgreSQL","Ruby, Python, R",Network Engineer,4 months,"Debating Society, Volunteering",No
3110,2.31,Computer Engineering,"Artificial Intelligence, SQL",C++,Systems Engineer,5 months,Art Club,Yes
3111,3.44,Computer Engineering,"DevOps, PostgreSQL, Computer Networks, Machine Learning",Python,Research Assistant,7 months,"Sports Club, Student Government",Yes
3112,2.19,Information Technology,"Artificial Intelligence, Data Structures & Algorithms (DSA)","Python, C",Network Engineer,9 months,"Student Government, Coding Club",No
3113,2.49,Chemical Engineering,"DevOps, SQL","R, JavaScript",Software Developer,4 months,"Art Club, Debating Society",No
3114,3.21,Software Engineering,"Operating Systems, PostgreSQL, SQL, Cloud Computing",R,Systems Engineer,15 months,Art Club,No
3115,3.23,Mechanical Engineering,"Data Structures & Algorithms (DSA), Computer Networks, DevOps, Web Development, PostgreSQL","C++, JavaScript, Ruby",Software Developer,4 months,"Student Government, Sports Club, Art Club",Yes
3116,3.51,Robotics,"Web Development, Computer Networks, DevOps, Artificial Intelligence","R, C",Research Assistant,21 months,"Coding Club, Sports Club",No
3117,3.12,Mechanical Engineering,"Cloud Computing, SQL, Operating Systems","Java, C",Systems Engineer,15 months,"Coding Club, Music Club",No
3118,3.58,Chemical Engineering,"Machine Learning, Operating Systems, Artificial Intelligence, Data Structures & Algorithms (DSA)","C++, Python",Hardware Engineer,13 months,Student Government,No
3119,3.18,Electrical Engineering,"Data Structures & Algorithms (DSA), Computer Networks",C,Research Assistant,12 months,Music Club,No
3120,2.09,Software Engineering,"Web Development, Cloud Computing, DevOps, PostgreSQL","Python, Java, Ruby",Data Analyst,20 months,Student Government,Yes
3121,3.36,Data Science,"Artificial Intelligence, SQL, Data Structures & Algorithms (DSA), Operating Systems, Web Development",Ruby,Research Assistant,16 months,"Art Club, Student Government, Debating Society",No
3122,2.71,Software Engineering,"Cloud Computing, DevOps, Web Development",Ruby,Hardware Engineer,19 months,Student Government,No
3123,2.76,Robotics,"Artificial Intelligence, DevOps, Machine Learning, Operating Systems","Python, JavaScript",Network Engineer,16 months,"Sports Club, Coding Club, Art Club",Yes
3124,3.2,Chemical Engineering,"Data Structures & Algorithms (DSA), Computer Networks",Java,Software Developer,10 months,"Coding Club, Sports Club",No
3125,3.56,Robotics,"Cloud Computing, Computer Networks, SQL",JavaScript,Hardware Engineer,3 months,"Debating Society, Student Government, Sports Club",Yes
3126,2.27,Robotics,"Data Structures & Algorithms (DSA), Operating Systems, Cloud Computing, PostgreSQL, Computer Networks","Java, C",Network Engineer,24 months,Coding Club,No
3127,3.8,Chemical Engineering,"Operating Systems, DevOps, Machine Learning, Computer Networks",C++,Systems Engineer,16 months,"Art Club, Volunteering",Yes
3128,2.76,Artificial Intelligence,"Computer Networks, DevOps","Ruby, Java, R",Network Engineer,6 months,Coding Club,Yes
3129,3.93,Artificial Intelligence,"Web Development, PostgreSQL, Cloud Computing, Machine Learning, DevOps","C++, Python",Hardware Engineer,21 months,"Student Government, Coding Club",No
3130,3.09,Chemical Engineering,"DevOps, Data Structures & Algorithms (DSA)","C++, C, Java",Systems Engineer,4 months,"Volunteering, Debating Society, Sports Club",Yes
3131,2.49,Robotics,"Machine Learning, Artificial Intelligence, Data Structures & Algorithms (DSA)",Ruby,Systems Engineer,10 months,"Music Club, Volunteering, Sports Club",Yes
3132,3.11,Data Science,"Operating Systems, Machine Learning, Data Structures & Algorithms (DSA)","Python, JavaScript, R",Hardware Engineer,18 months,"Debating Society, Art Club, Volunteering",No
3133,2.56,Mechanical Engineering,"SQL, Artificial Intelligence","C++, Java",Network Engineer,5 months,"Volunteering, Coding Club, Debating Society",Yes
3134,3.63,Electrical Engineering,"PostgreSQL, Computer Networks, SQL, Data Structures & Algorithms (DSA), Operating Systems","R, C",Network Engineer,5 months,Art Club,Yes
3135,3.61,Electrical Engineering,"PostgreSQL, Web Development","C++, Python",Research Assistant,6 months,Student Government,Yes
3136,3.38,Robotics,"Cloud Computing, Operating Systems, Artificial Intelligence, DevOps","C++, C, Ruby",Research Assistant,11 months,"Art Club, Debating Society",No
3137,3.49,Software Engineering,"Computer Networks, SQL, Data Structures & Algorithms (DSA)","R, JavaScript, Java",Systems Engineer,3 months,Art Club,Yes
3138,2.19,Artificial Intelligence,"Operating Systems, Data Structures & Algorithms (DSA), Web Development, Computer Networks","Java, R, C++",Data Analyst,3 months,"Art Club, Coding Club",Yes
3139,2.58,Civil Engineering,"Cloud Computing, Machine Learning, PostgreSQL, Web Development","C++, JavaScript",Software Developer,11 months,Debating Society,Yes
3140,2.28,Mechanical Engineering,"Web Development, Artificial Intelligence, PostgreSQL",C,Hardware Engineer,22 months,"Volunteering, Sports Club, Music Club",No
3141,3.26,Civil Engineering,"Computer Networks, DevOps, Web Development","JavaScript, Python, C",Network Engineer,10 months,Debating Society,No
3142,2.45,Computer Engineering,"PostgreSQL, Machine Learning, DevOps, Data Structures & Algorithms (DSA), Web Development","C, JavaScript",Data Analyst,3 months,"Music Club, Student Government, Coding Club",Yes
3143,2.78,Computer Engineering,"PostgreSQL, Operating Systems","R, JavaScript",Systems Engineer,4 months,"Coding Club, Volunteering, Debating Society",No
3144,3.7,Software Engineering,"Web Development, Cloud Computing, Artificial Intelligence","JavaScript, Ruby",Network Engineer,16 months,"Volunteering, Coding Club",Yes
3145,2.83,Information Technology,"Artificial Intelligence, PostgreSQL, DevOps, Machine Learning","C++, C, Python",Hardware Engineer,5 months,Volunteering,No
3146,3.68,Information Technology,"Machine Learning, Operating Systems, Data Structures & Algorithms (DSA)","Ruby, JavaScript, R",Network Engineer,11 months,Volunteering,Yes
3147,3.43,Software Engineering,"Machine Learning, Operating Systems, Cloud Computing","C++, Python, Ruby",Network Engineer,4 months,Art Club,No
3148,2.9,Civil Engineering,"SQL, Cloud Computing, DevOps, PostgreSQL, Computer Networks","R, Ruby, Python",Software Developer,4 months,Volunteering,Yes
3149,3.8,Software Engineering,"Artificial Intelligence, Computer Networks, Operating Systems",Java,Systems Engineer,12 months,Student Government,Yes
3150,2.56,Civil Engineering,"Data Structures & Algorithms (DSA), PostgreSQL, Machine Learning, Computer Networks","R, JavaScript",Software Developer,15 months,Music Club,No
3151,3.63,Electrical Engineering,"SQL, Data Structures & Algorithms (DSA), Web Development",R,Systems Engineer,22 months,"Volunteering, Debating Society",Yes
3152,2.59,Electrical Engineering,"Artificial Intelligence, SQL, Computer Networks","JavaScript, Python",Network Engineer,6 months,"Coding Club, Volunteering",No
3153,2.21,Data Science,"Artificial Intelligence, Computer Networks, Cloud Computing, DevOps, SQL","Java, JavaScript, C",Data Analyst,9 months,"Student Government, Music Club, Art Club",No
3154,3.8,Computer Engineering,"SQL, Computer Networks, Operating Systems",R,Data Analyst,17 months,"Sports Club, Debating Society",Yes
3155,3.18,Robotics,"Computer Networks, Artificial Intelligence, Data Structures & Algorithms (DSA), Web Development, DevOps","Python, JavaScript, Java",Systems Engineer,13 months,"Music Club, Debating Society, Student Government",Yes
3156,3.66,Artificial Intelligence,"Machine Learning, Artificial Intelligence, Operating Systems, Cloud Computing, SQL",Java,Data Analyst,4 months,"Sports Club, Art Club",Yes
3157,2.09,Mechanical Engineering,"Operating Systems, Data Structures & Algorithms (DSA), PostgreSQL","Python, Java",Research Assistant,10 months,Art Club,Yes
3158,3.96,Electrical Engineering,"Web Development, DevOps, Machine Learning, PostgreSQL","R, JavaScript",Software Developer,9 months,"Debating Society, Volunteering, Sports Club",No
